City_ID,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,111,Gunjur,13.2019,-16.7339,77.0,65,0,9.22,GM,2021-03-30 12:13:06
112,112,San Quintín,30.4833,-115.95,55.42,90,16,7.47,MX,2021-03-30 12:13:06
113,113,Amuntai,-2.4177,115.2494,76.19,96,100,2.75,ID,2021-03-30 12:13:06
114,114,Lavrentiya,65.5833,-171.0,3.04,84,100,8.39,RU,2021-03-30 12:13:07
115,115,Canary Islands,28.0,-15.5,70.0,68,40,6.91,ES,2021-03-30 12:13:07
116,116,Alofi,-19.0595,-169.9187,78.8,89,40,4.61,NU,2021-03-30 12:13:07
117,117,Baculin,7.4525,126.5842,78.22,90,96,7.16,PH,2021-03-30 12:13:07
118,118,Lokoja,7.8024,6.742999999999999,103.91,22,54,3.4,NG,2021-03-30 12:13:08
119,119,Rome,43.2128,-75.4557,35.01,64,1,4.61,US,2021-03-30 12:10:04
120,120,Fare,-16.7,-151.0167,81.19,75,46,9.33,PF,2021-03-30 12:13:08
121,121,Magadan,59.5667,150.8,20.32,89,100,27.09,RU,2021-03-30 12:13:08
122,122,Torbay,47.6666,-52.7314,32.0,80,75,23.02,CA,2021-03-30 12:13:08
123,123,Leningradskiy,69.3833,178.4167,-0.71,88,100,17.18,RU,2021-03-30 12:13:09
124,124,Souillac,-20.5167,57.5167,77.0,94,75,5.75,MU,2021-03-30 12:13:09
125,125,Tuktoyaktuk,69.4541,-133.0374,-15.74,97,56,13.33,CA,2021-03-30 12:13:09
126,126,Mahébourg,-20.4081,57.7,77.0,94,75,5.75,MU,2021-03-30 12:13:10
127,127,Westlock,54.1502,-113.8688,12.2,79,72,4.61,CA,2021-03-30 12:13:10
128,128,Lālmohan,22.3384,90.7419,81.09,83,52,21.43,BD,2021-03-30 12:13:10
129,129,Prince George,53.9166,-122.75299999999999,26.6,68,1,9.22,CA,2021-03-30 12:11:59
130,130,Palekastro,35.2,26.25,63.0,37,83,28.41,GR,2021-03-30 12:13:11
131,131,Popova,42.9603,131.7228,44.6,49,53,6.71,RU,2021-03-30 12:12:11
132,132,Tonekābon,36.8163,50.8738,55.4,76,75,6.91,IR,2021-03-30 12:13:11
133,133,Santa Rosa,14.3122,121.1114,86.0,70,20,6.91,PH,2021-03-30 12:13:11
134,134,São Gabriel da Cachoeira,-0.1303,-67.0892,72.97,99,100,2.84,BR,2021-03-30 12:13:11
135,135,Dalvik,65.9702,-18.5286,28.4,64,75,13.8,IS,2021-03-30 12:13:12
136,136,Petropavlovsk-Kamchatskiy,53.0452,158.6483,32.0,100,90,6.71,RU,2021-03-30 12:13:12
137,137,Hofn,64.2539,-15.2082,32.63,49,14,4.09,IS,2021-03-30 12:13:12
138,138,Saldanha,-33.0117,17.9442,73.4,71,0,11.5,ZA,2021-03-30 12:13:13
139,139,Severo-Kuril'sk,50.6789,156.125,35.44,96,96,8.32,RU,2021-03-30 12:13:13
140,140,Cape Town,-33.9258,18.4232,75.0,60,0,12.66,ZA,2021-03-30 12:11:46
141,141,East London,-33.0153,27.9116,78.8,65,0,17.27,ZA,2021-03-30 12:08:13
142,142,Donegal,54.65,-8.1167,57.2,67,90,19.57,IE,2021-03-30 12:13:13
143,143,Provideniya,64.3833,-173.3,6.44,91,100,8.46,RU,2021-03-30 12:13:14
144,144,Saint-Philippe,-21.3585,55.7679,84.2,74,75,11.5,RE,2021-03-30 12:13:14
145,145,Västerås,59.6162,16.5528,55.4,67,75,14.97,SE,2021-03-30 12:13:14
146,146,Sept-Îles,50.2001,-66.3821,18.0,48,20,5.75,CA,2021-03-30 12:13:14
147,147,Katobu,-4.9408,122.5276,76.89,88,96,2.93,ID,2021-03-30 12:13:15
148,148,Salcedo,12.8105,121.4674,78.6,83,100,4.18,PH,2021-03-30 12:13:15
149,149,Qaqortoq,60.7167,-46.0333,39.2,45,75,17.27,GL,2021-03-30 12:13:15
150,150,Avarua,-21.2078,-159.775,80.6,83,40,6.91,CK,2021-03-30 12:13:16
151,151,Coyhaique,-45.5752,-72.0662,53.6,94,20,4.61,CL,2021-03-30 12:13:16
152,152,Hithadhoo,-0.6,73.0833,84.31,76,96,20.22,MV,2021-03-30 12:13:16
153,153,Zhigansk,66.7697,123.3711,21.47,93,100,9.42,RU,2021-03-30 12:13:17
154,154,Onega,63.9061,38.1404,39.13,81,100,12.1,RU,2021-03-30 12:13:17
155,155,Tolaga Bay,-38.3667,178.3,61.75,86,100,6.06,NZ,2021-03-30 12:13:17
156,156,Khasan,42.4308,130.6434,44.71,67,12,4.99,RU,2021-03-30 12:13:18
157,157,Broome,42.2506,-75.833,36.0,64,1,6.91,US,2021-03-30 12:13:18
158,158,Rio Grande,-32.035,-52.0986,68.0,88,75,6.91,BR,2021-03-30 12:10:19
159,159,Formiga,-20.4644,-45.4264,73.29,77,15,0.78,BR,2021-03-30 12:13:18
160,160,Khatanga,71.9667,102.5,-22.47,95,18,11.12,RU,2021-03-30 12:13:18
161,161,Erenhot,43.6475,111.9767,53.92,25,24,12.57,CN,2021-03-30 12:13:19
162,162,Ateptsevo,55.3236,36.75,44.6,42,0,13.42,RU,2021-03-30 12:13:19
163,163,Palmer,42.1584,-72.3287,34.0,85,1,2.68,US,2021-03-30 12:13:19
164,164,Fairbanks,64.8378,-147.7164,26.6,80,90,3.44,US,2021-03-30 12:12:27
165,165,Sciacca,37.5082,13.0881,64.0,64,17,11.99,IT,2021-03-30 12:13:20
